grego;strongs;campo;palavra_original;decisao;antes;depois
Ἰωσῆς;2501;pt;josé;José;José;José
Ἰωσίαν;2502;traducao;josio;Josias;josio;Josias
Ἰωσίαν;2502;pt;josio;Josias;josio;Josias
Ἰωσίας;2502;traducao;josio;Josias;josio;Josias
Ἰωσίας;2502;pt;josio;Josias;josio;Josias
ἰῶτα;2503;traducao;ioto;iota;ioto;iota
ἰῶτα;2503;pt;ioto;iota;ioto;iota
καθήσεσθε;2521;traducao;estáis;estais;vós sentais, estáis sentado, habitais;vós sentais, estais sentado, habitais
καταστήσωμεν;2525;traducao;estabelecamos;estabeleçamos;nós nomeemos, fixemos, estabelecamos, constituamos;nós nomeemos, fixemos, estabeleçamos, constituamos
Καιάφαν;2533;traducao;caifá;Caifás;Caifá;Caifás
Καιάφαν;2533;pt;caifá;Caifás;Caifá;Caifás
Καινάμ;2536;traducao;kainam;Cainam;kainam;Cainam
Καινάμ;2536;pt;kainam;Cainam;kainam;Cainam
καϊνάν;2536;traducao;kainam;Cainam;kainam;Cainam
καϊνάν;2536;pt;kainam;Cainam;kainam;Cainam
Καισαρείᾳ;2542;traducao;cesaréia;Cesareia;à cesaréia;à Cesareia
Καισαρείᾳ;2542;pt;cesaréia;Cesareia;à cesaréia;à Cesareia
Καισάρειαν;2542;traducao;cesareia;Cesareia;Cesareia;Cesareia
Καισάρειαν;2542;pt;cesareia;Cesareia;Cesareia;Cesareia
Καισαρείας;2542;traducao;cesareia;Cesareia;de Cesareia;de Cesareia
Καισαρείας;2542;pt;cesareia;Cesareia;de Cesareia;de Cesareia
κακοπαθείας;2552;traducao;sofrimenta;sofrimento;da sofrimenta;da sofrimento
κακοπαθείας;2552;pt;sofrimenta;sofrimento;da sofrimenta;da sofrimento
Κανὰ;2580;traducao;caná;Caná;Caná;Caná
Κανὰ;2580;pt;caná;Caná;Caná;Caná
Κανδάκης;2582;traducao;candace;Candace;da Candace;da Candace
Κανδάκης;2582;pt;candace;Candace;da Candace;da Candace
Καφαρναούμ;2584;traducao;cafarnaum;Cafarnaum;Cafarnaum;Cafarnaum
Καφαρναούμ;2584;pt;cafarnaum;Cafarnaum;Cafarnaum;Cafarnaum
Καπερναοὺμ;2584;traducao;cafarnaum;Cafarnaum;Cafarnaum;Cafarnaum
Καπερναοὺμ;2584;pt;cafarnaum;Cafarnaum;Cafarnaum;Cafarnaum
Καπερναούμ;2584;traducao;cafarnaum;Cafarnaum;Cafarnaum;Cafarnaum
Καπερναούμ;2584;pt;cafarnaum;Cafarnaum;Cafarnaum;Cafarnaum
Καππαδοκίαν;2587;traducao;capadócia;Capadócia;Capadócia;Capadócia
Καππαδοκίαν;2587;pt;capadócia;Capadócia;Capadócia;Capadócia
Καππαδοκίας;2587;traducao;capadócia;Capadócia;da Capadócia;da Capadócia
Καππαδοκίας;2587;pt;capadócia;Capadócia;da Capadócia;da Capadócia
καταλλαγὴ;2643;traducao;reconciliaçõe;reconciliações;reconciliaçõe;reconciliações
καταλλαγὴ;2643;pt;reconciliaçõe;reconciliações;reconciliaçõe;reconciliações
κατέλυσα;2647;pt;destrui;destruí;destrui;destruí
καταπίῃ;2666;traducao;engola;engula;ele(a) engola, devore, consuma;ele(a) engula, devore, consuma
καταπίῃ;2666;pt;engola;engula;engola;engula
κατάσχωμεν;2722;traducao;restringamos;restrinjamos;nós seguremos firme, restringamos, possuamos, mantenhamos;nós seguremos firme, restrinjamos, possuamos, mantenhamos
κατέχωμεν;2722;traducao;restringamos;restrinjamos;nós seguremos firme, restringamos, possuamos, mantenhamos;nós seguremos firme, restrinjamos, possuamos, mantenhamos
κατήφειαν;2726;traducao;desânima;desânimo;desânima;desânimo
κατήφειαν;2726;pt;desânima;desânimo;desânima;desânimo
Κενχρεαῖς;2747;traducao;cencréias;Cencréia;às Cencréias;às Cencréia
Κενχρεαῖς;2747;pt;cencréias;Cencréia;às Cencréias;às Cencréia
κεγχρεαῖς;2747;traducao;cencréias;Cencréia;às Cencréias;às Cencréia
κεγχρεαῖς;2747;pt;cencréias;Cencréia;às Cencréias;às Cencréia
Κέδρων;2748;traducao;cedron;Cedron;Cedron;Cedron
Κέδρων;2748;pt;cedron;Cedron;Cedron;Cedron
Κηφᾶς;2786;traducao;cefas;Cefas;Cefas;Cefas
Κηφᾶς;2786;pt;cefas;Cefas;Cefas;Cefas
Κηφᾶ;2786;traducao;cefas;Cefas;de Cefas;de Cefas
Κηφᾶ;2786;pt;cefas;Cefas;de Cefas;de Cefas
κιθαρῳδῶν;2790;traducao;harpistos;harpistas;dos harpistos;dos harpistas
κιθαρῳδῶν;2790;pt;harpistos;harpistas;dos harpistos;dos harpistas
Κιλικίαν;2791;traducao;cilícia;Cilícia;Cilícia;Cilícia
Κιλικίαν;2791;pt;cilícia;Cilícia;Cilícia;Cilícia
Κιλικίας;2791;traducao;cilícia;Cilícia;da Cilícia;da Cilícia
Κιλικίας;2791;pt;cilícia;Cilícia;da Cilícia;da Cilícia
κλαύδην;2802;traducao;cláudia;Cláudia;Cláudia;Cláudia
κλαύδην;2802;pt;cláudia;Cláudia;Cláudia;Cláudia
Καῦδα;2802;traducao;cláudio;Cláudio;Cláudio;Cláudio
Καῦδα;2802;pt;cláudio;Cláudio;Cláudio;Cláudio
Κλαυδία;2803;traducao;cláudia;Cláudia;Cláudia;Cláudia
Κλαυδία;2803;pt;cláudia;Cláudia;Cláudia;Cláudia
Κλαύδιον;2804;traducao;cláudio;Cláudio;Cláudio;Cláudio
Κλαύδιον;2804;pt;cláudio;Cláudio;Cláudio;Cláudio
Κλαύδιος;2804;traducao;cláudio;Cláudio;Cláudio;Cláudio
Κλαύδιος;2804;pt;cláudio;Cláudio;Cláudio;Cláudio
Κλαυδίου;2804;traducao;cláudio;Cláudio;do Cláudio;do Cláudio
Κλαυδίου;2804;pt;cláudio;Cláudio;do Cláudio;do Cláudio
Κλεόπας;2810;traducao;cléofo;Cleópas;cléofo;Cleópas
Κλεόπας;2810;pt;cléofo;Cleópas;cléofo;Cleópas
Κλωπᾶ;2832;traducao;clopas;Clopas;de Clopas;de Clopas
Κλωπᾶ;2832;pt;clopas;Clopas;de Clopas;de Clopas
Κνίδον;2834;traducao;cnida;Cnido;cnida;Cnido
Κνίδον;2834;pt;cnida;Cnido;cnida;Cnido
κολλύριον;2854;traducao;pomado;pomada;pomado para os olhos;pomada para os olhos
κολλύριον;2854;pt;pomado;pomada;pomado para os olhos;pomada para os olhos
ἐκομισάμην;2865;traducao;carregei;carreguei;eu recebi, trouxe, carregei, recuperei;eu recebi, trouxe, carreguei, recuperei
Κορίνθῳ;2882;traducao;corinto;Corinto;a Corinto;a Corinto
Κορίνθῳ;2882;pt;corinto;Corinto;a Corinto;a Corinto
Κόρινθον;2882;traducao;corinta;Corinto;corinta;Corinto
Κόρινθον;2882;pt;corinta;Corinto;corinta;Corinto
κράσπεδα;2899;traducao;franjos;franjas;franjos;franjas
κράσπεδα;2899;pt;franjos;franjas;franjos;franjas
ἐκράτησεν;2902;traducao;manteu;manteve;ele(a) segurou, agarrou, prendeu, manteu;ele(a) segurou, agarrou, prendeu, manteve
κρατήσωσιν;2902;traducao;mantam;mantenham;eles(as) apreendam, segurem, agarrem, retam, mantam;eles(as) apreendam, segurem, agarrem, retam, mantenham
κρατοῦσιν;2902;traducao;mantem;mantenham;eles(as) apreendem, seguram, agarram, retem, mantem;eles(as) apreendem, seguram, agarram, retem, mantenham
ἐκρατοῦντο;2902;traducao;retiam;retinham;eles(as) apreendiam, seguravam, agarravam, retiam, mantiam;eles(as) apreendiam, seguravam, agarravam, retinham, mantiam
ἐκρατοῦντο;2902;traducao;mantiam;mantinham;eles(as) apreendiam, seguravam, agarravam, retinham, mantiam;eles(as) apreendiam, seguravam, agarravam, retinham, mantinham
κεκράτηνται;2902;traducao;manteram;mantiveram;eles(as) seguraram, agarraram, prenderam, manteram;eles(as) seguraram, agarraram, prenderam, mantiveram
ἐκράτησαν;2902;traducao;manteram;mantiveram;eles(as) seguraram, agarraram, prenderam, manteram;eles(as) seguraram, agarraram, prenderam, mantiveram
κρατῶμεν;2902;traducao;mantamos;mantenhamos;nós apreendamos, seguremos, agarremos, retamos, mantamos;nós apreendamos, seguremos, agarremos, retamos, mantenhamos
κρατεῖς;2902;traducao;mantes;manténs;tu apreendes, seguras, agarras, retens, mantes;tu apreendes, seguras, agarras, retens, manténs
κρατεῖτε;2902;traducao;manteis;mantendes;vós apreendeis, segurais, agarrais, reteis, manteis;vós apreendeis, segurais, agarrais, reteis, mantendes
ἐκρατήσατέ;2902;traducao;mantestes;mantivestes;vós apreendestes, segurastes, agarrastes, retestes, mantestes;vós apreendestes, segurastes, agarrastes, retestes, mantivestes
κρατῆτε;2902;traducao;mantais;manteis;vós segureis, agarreis, prendais, mantais;vós segureis, agarreis, prendais, manteis
κρίνωμεν;2919;pt;julgemos;julguemos;julgemos;julguemos
κρίνωμεν;2919;traducao;julgemos;julguemos;nós julgemos, decidamos, determinemos;nós julguemos, decidamos, determinemos
ἔκρυψας;2928;traducao;manteste;mantiveste;tu escondeste, manteste segredo;tu escondeste, mantiveste segredo
Κύπρον;2954;traducao;chipre;Chipre;Chipre;Chipre
Κύπρον;2954;pt;chipre;Chipre;Chipre;Chipre
Κύπρου;2954;traducao;chipre;Chipre;da Chipre;da Chipre
Κύπρου;2954;pt;chipre;Chipre;da Chipre;da Chipre
Κυρήνην;2957;traducao;cirene;Cirene;Cirene;Cirene
Κυρήνην;2957;pt;cirene;Cirene;Cirene;Cirene
Κυρηνίου;2958;traducao;quirino;Quirino;do Quirino;do Quirino
Κυρηνίου;2958;pt;quirino;Quirino;do Quirino;do Quirino
κυριεύσῃ;2961;traducao;exerca;exerça;ele(a) tenha domínio, governe, domine, exerca autoridade.;ele(a) tenha domínio, governe, domine, exerça autoridade.
κωλύσῃς;2967;traducao;restringas;restrinjais;tu impeças, proíbas, restringas;tu impeças, proíbas, restrinjais
Λάμεχ;2984;traducao;lameque;Lameque;Lameque;Lameque
Λάμεχ;2984;pt;lameque;Lameque;Lameque;Lameque
Λαοδικείᾳ;2993;traducao;laodicéia;Laodicéia;a Laodicéia;a Laodicéia
Λαοδικείᾳ;2993;pt;laodicéia;Laodicéia;a Laodicéia;a Laodicéia
Λαοδικείας;2993;traducao;laodicéia;Laodicéia;da Laodicéia;da Laodicéia
Λαοδικείας;2993;pt;laodicéia;Laodicéia;da Laodicéia;da Laodicéia
Λαοδίκειαν;2993;traducao;laodicéia;Laodicéia;Laodicéia;Laodicéia
Λαοδίκειαν;2993;pt;laodicéia;Laodicéia;Laodicéia;Laodicéia
Λαοδικέων;2994;traducao;laodicéios;laodicenses;dos laodicéios;dos laodicenses
Λαοδικέων;2994;pt;laodicéios;laodicenses;dos laodicéios;dos laodicenses
λαοδικαίων;2994;traducao;laodicéios;laodicenses;dos laodicéios;dos laodicenses
λαοδικαίων;2994;pt;laodicéios;laodicenses;dos laodicéios;dos laodicenses
Λασαία;2996;traducao;lasaia;Lasaia;lasaia;Lasaia
Λασαία;2996;pt;lasaia;Lasaia;lasaia;Lasaia
λατρεία;2999;traducao;serviça;serviço;serviça;serviço
λατρεία;2999;pt;serviça;serviço;serviça;serviço
Λευὶ;3017;traducao;levi;Levi;Levi;Levi
Λευὶ;3017;pt;levi;Levi;Levi;Levi
Λευὶν;3018;traducao;levi;Levi;Levi;Levi
Λευὶν;3018;pt;levi;Levi;Levi;Levi
Λευὶς;3018;traducao;levi;Levi;Levi;Levi
Λευὶς;3018;pt;levi;Levi;Levi;Levi
Λευίτας;3019;traducao;levitos;levitas;levitos;levitas
Λευίτας;3019;pt;levitos;levitas;levitos;levitas
Λίνος;3044;traducao;linu;Lino;linu;Lino
Λίνος;3044;pt;linu;Lino;linu;Lino
Λυδία;3070;traducao;lídia;Lídia;Lídia;Lídia
Λυδία;3070;pt;lídia;Lídia;Lídia;Lídia
Λυδίαν;3070;traducao;lídia;Lídia;Lídia;Lídia
Λυδίαν;3070;pt;lídia;Lídia;Lídia;Lídia
Λυκαονίας;3071;traducao;licaônia;Licaônia;da licaônia;da Licaônia
Λυκαονίας;3071;pt;licaônia;Licaônia;da licaônia;da Licaônia
Λυσανίου;3078;traducao;lisânio;Lisânio;do lisânio;do Lisânio
Λυσανίου;3078;pt;lisânio;Lisânio;do lisânio;do Lisânio
λύουσιν;3089;traducao;destróem;destroem;eles(as) soltam, liberam, dissolvem, quebram, destróem;eles(as) soltam, liberam, dissolvem, quebram, destroem
Λύσατε;3089;traducao;destrui;destruí;vós soltai, liberai, dissolvei, quebrai, destrui;vós soltai, liberai, dissolvei, quebrai, destruí
Λωίδι;3090;traducao;loi;Lóis;ao loi;ao Lóis
Λωίδι;3090;pt;loi;Lóis;ao loi;ao Lóis
Μαάθ;3092;traducao;maath;Maate;maath;Maate
Μαάθ;3092;pt;maath;Maate;maath;Maate
Μαγαδάν;3093;traducao;magadan;Magadan;Magadan;Magadan
Μαγαδάν;3093;pt;magadan;Magadan;Magadan;Magadan
μαγδαλά;3093;traducao;magadan;Magadan;Magadan;Magadan
μαγδαλά;3093;pt;magadan;Magadan;Magadan;Magadan
Μαγώγ;3098;traducao;magogue;Magogue;Magogue;Magogue
Μαγώγ;3098;pt;magogue;Magogue;Magogue;Magogue
Μαδιάμ;3099;traducao;midiã;Midiã;Midiã;Midiã
Μαδιάμ;3099;pt;midiã;Midiã;Midiã;Midiã
Μεννά;3104;traducao;mainan;Mainan;mainan;Mainan
Μεννά;3104;pt;mainan;Mainan;mainan;Mainan
μαϊνάν;3104;traducao;mainan;Mainan;mainan;Mainan
μαϊνάν;3104;pt;mainan;Mainan;mainan;Mainan
μαίνεσθε;3105;pt;estáis;estais;estáis louco;estais louco
μαίνεσθε;3105;traducao;estáis;estais;vós estáis louco, delirais, sois louco;vós estais louco, delirais, sois louco
Μαλελεήλ;3121;traducao;maalalel;Maalael;maalalel;Maalael
Μαλελεήλ;3121;pt;maalalel;Maalael;maalalel;Maalael
Μάλχος;3124;traducao;malco;Malco;Malco;Malco
Μάλχος;3124;pt;malco;Malco;Malco;Malco
μαμωνᾷ;3126;traducao;mamon;Mamon;a Mamon;a Mamon
μαμωνᾷ;3126;pt;mamon;Mamon;a Mamon;a Mamon
μαμωνᾶ;3126;traducao;mamon;Mamon;de Mamon;de Mamon
μαμωνᾶ;3126;pt;mamon;Mamon;de Mamon;de Mamon
Μαναήν;3127;traducao;manaém;Manaém;Manaém;Manaém
Μαναήν;3127;pt;manaém;Manaém;Manaém;Manaém
Μανασσῆ;3128;traducao;manassé;Manassés;Manassé;Manassés
Μανασσῆ;3128;pt;manassé;Manassés;Manassé;Manassés
Μανασσῆς;3128;traducao;manassé;Manassés;Manassé;Manassés
Μανασσῆς;3128;pt;manassé;Manassés;Manassé;Manassés
Μαρίαν;3137;traducao;mary;Maria;mary;Maria
Μαρίαν;3137;pt;mary;Maria;mary;Maria
Μαθθαῖος;3156;traducao;mateu;Mateus;Mateu;Mateus
Μαθθαῖος;3156;pt;mateu;Mateus;Mateu;Mateus
Ματθαῖον;3156;traducao;mateu;Mateus;Mateu;Mateus
Ματθαῖον;3156;pt;mateu;Mateus;Mateu;Mateus
Ματθαῖος;3156;traducao;mateu;Mateus;Mateu;Mateus
Ματθαῖος;3156;pt;mateu;Mateus;Mateu;Mateus
Ματθάν;3157;traducao;mathan;Matã;mathan;Matã
Ματθάν;3157;pt;mathan;Matã;mathan;Matã
Μαθθάτ;3158;traducao;matthat;Matate;matthat;Matate
Μαθθάτ;3158;pt;matthat;Matate;matthat;Matate
ματθάτ;3158;traducao;matthat;Matate;matthat;Matate
ματθάτ;3158;pt;matthat;Matate;matthat;Matate
Μαθθίαν;3159;traducao;matio;Matias;matio;Matias
Μαθθίαν;3159;pt;matio;Matias;matio;Matias
ματθίαν;3159;traducao;matio;Matias;matio;Matias
ματθίαν;3159;pt;matio;Matias;matio;Matias
Ματταθά;3160;traducao;mattatho;Matatá;mattatho;Matatá
Ματταθά;3160;pt;mattatho;Matatá;mattatho;Matatá
Ματταθίου;3161;traducao;matatio;Matatias;do matatio;do Matatias
Ματταθίου;3161;pt;matatio;Matatias;do matatio;do Matatias
Μελεά;3190;traducao;meléo;Meleá;meléo;Meleá
Μελεά;3190;pt;meléo;Meleá;meléo;Meleá
μέλλετε;3195;pt;estáis;estais;estáis prestes a;estais prestes a
μέλλετε;3195;traducao;estáis;estais;vós estáis prestes a, pretendeis, estáis destinado;vós estais prestes a, pretendeis, estais destinado
Μελχὶ;3197;traducao;melqui;Melqui;melqui;Melqui
Μελχὶ;3197;pt;melqui;Melqui;melqui;Melqui
Μελχισεδέκ;3198;traducao;melquisedeque;Melquisedeque;Melquisedeque;Melquisedeque
Μελχισεδέκ;3198;pt;melquisedeque;Melquisedeque;Melquisedeque;Melquisedeque
Μεσσίαν;3323;traducao;messio;Messias;messio;Messias
Μεσσίαν;3323;pt;messio;Messias;messio;Messias
Μεσσίας;3323;traducao;messio;Messias;messio;Messias
Μεσσίας;3323;pt;messio;Messias;messio;Messias
μεσίαν;3323;traducao;messio;Messias;messio;Messias
μεσίαν;3323;pt;messio;Messias;messio;Messias
μεσίας;3323;traducao;messio;Messias;messio;Messias
μεσίας;3323;pt;messio;Messias;messio;Messias
μετάληψιν;3336;traducao;participaçõe;participações;participaçõe;participações
μετάληψιν;3336;pt;participaçõe;participações;participaçõe;participações
μετρητὰς;3355;traducao;measures;metretas;measures;metretas
μετρητὰς;3355;pt;measures;metretas;measures;metretas
μητρολῴαις;3389;traducao;insultora;insultadoras;aos mães-insultora;aos mães-insultadoras
μητρολῴαις;3389;pt;insultora;insultadoras;aos mães-insultora;aos mães-insultadoras
Μιλήτῳ;3399;traducao;mileta;Mileto;à Mileta;à Mileto
Μιλήτῳ;3399;pt;mileta;Mileto;à Mileta;à Mileto
Μιλήτου;3399;traducao;mileta;Mileto;da Mileta;da Mileto
Μιλήτου;3399;pt;mileta;Mileto;da Mileta;da Mileto
Μίλητον;3399;traducao;mileta;Mileto;Mileta;Mileto
Μίλητον;3399;pt;mileta;Mileto;Mileta;Mileto
μισεῖς;3404;pt;odias;odeias;odias;odeias
μισεῖς;3404;traducao;odias;odeias;tu odias, detestas, abominas;tu odeias, detestas, abominas
Μιτυλήνην;3412;traducao;mitilene;Mitilene;mitilene;Mitilene
Μιτυλήνην;3412;pt;mitilene;Mitilene;mitilene;Mitilene
Μνάσωνί;3416;traducao;mnason;Mnason;ao Mnason;ao Mnason
Μνάσωνί;3416;pt;mnason;Mnason;ao Mnason;ao Mnason
Μωυσῇ;3475;traducao;moisé;Moisés;ao Moisé;ao Moisés
Μωυσῇ;3475;pt;moisé;Moisés;ao Moisé;ao Moisés
Μωσῆς;3475;traducao;moisé;Moisés;ao Moisé;ao Moisés
Μωσῆς;3475;pt;moisé;Moisés;ao Moisé;ao Moisés
μωσῇ;3475;traducao;moisé;Moisés;ao Moisé;ao Moisés
μωσῇ;3475;pt;moisé;Moisés;ao Moisé;ao Moisés
Μωυσέα;3475;traducao;moisé;Moisés;Moisé;Moisés
Μωυσέα;3475;pt;moisé;Moisés;Moisé;Moisés
μωσέα;3475;traducao;moisé;Moisés;Moisé;Moisés
μωσέα;3475;pt;moisé;Moisés;Moisé;Moisés
μωσῆν;3475;traducao;moisé;Moisés;Moisé;Moisés
μωσῆν;3475;pt;moisé;Moisés;Moisé;Moisés
Ναασσών;3476;traducao;naasson;Naasson;Naasson;Naasson
Ναασσών;3476;pt;naasson;Naasson;Naasson;Naasson
Ναγγαί;3477;traducao;naggai;Nagai;naggai;Nagai
Ναγγαί;3477;pt;naggai;Nagai;naggai;Nagai
Ναζαρέθ;3478;traducao;nazaré;Nazaré;Nazaré;Nazaré
Ναζαρέθ;3478;pt;nazaré;Nazaré;Nazaré;Nazaré
Ναζαρέτ;3478;traducao;nazaré;Nazaré;Nazaré;Nazaré
Ναζαρέτ;3478;pt;nazaré;Nazaré;Nazaré;Nazaré
Ναζαρά;3478;traducao;nazaré;Nazaré;Nazaré;Nazaré
Ναζαρά;3478;pt;nazaré;Nazaré;Nazaré;Nazaré
Ναθάμ;3481;traducao;nathan;Natã;nathan;Natã
Ναθάμ;3481;pt;nathan;Natã;nathan;Natã
ναθάν;3481;traducao;nathan;Natã;nathan;Natã
ναθάν;3481;pt;nathan;Natã;nathan;Natã
Ναθαναήλ;3482;traducao;natanael;Natanael;Natanael;Natanael
Ναθαναήλ;3482;pt;natanael;Natanael;Natanael;Natanael
Ναίν;3484;traducao;naim;Naim;Naim;Naim
Ναίν;3484;pt;naim;Naim;Naim;Naim
Ναούμ;3486;traducao;naum;Naum;Naum;Naum
Ναούμ;3486;pt;naum;Naum;Naum;Naum
Ναχώρ;3493;traducao;naor;Naor;Naor;Naor
Ναχώρ;3493;pt;naor;Naor;Naor;Naor
Ναιμὰν;3497;traducao;naamã;Naamã;Naamã;Naamã
Ναιμὰν;3497;pt;naamã;Naamã;Naamã;Naamã
νεεμὰν;3497;traducao;naamã;Naamã;Naamã;Naamã
νεεμὰν;3497;pt;naamã;Naamã;Naamã;Naamã
Νεφθαλίμ;3508;traducao;naftali;Naftali;Naftali;Naftali
Νεφθαλίμ;3508;pt;naftali;Naftali;Naftali;Naftali
Νεφθαλείμ;3508;traducao;naftali;Naftali;Naftali;Naftali
Νεφθαλείμ;3508;pt;naftali;Naftali;Naftali;Naftali
νεφροὺς;3510;traducao;rines;rins;rines);rins)
νεφροὺς;3510;pt;rines;rins;rines);rins)
νηρέα;3517;traducao;nereu;Nereu;Nereu;Nereu
νηρέα;3517;pt;nereu;Nereu;Nereu;Nereu
Νηρὶ;3518;traducao;néri;Néri;néri;Néri
Νηρὶ;3518;pt;néri;Néri;néri;Néri
Νίγερ;3526;traducao;níger;Níger;níger;Níger
Νίγερ;3526;pt;níger;Níger;níger;Níger
Νικάνορα;3527;traducao;nicanor;Nicanor;Nicanor;Nicanor
Νικάνορα;3527;pt;nicanor;Nicanor;Nicanor;Nicanor
νικήσῃς;3528;traducao;prevalecas;prevaleças;tu conquistes, superes, prevalecas, obtas vitória;tu conquistes, superes, prevaleças, obtas vitória
νικήσῃς;3528;traducao;obtas;obtenhas;tu conquistes, superes, prevaleças, obtas vitória;tu conquistes, superes, prevaleças, obtenhas vitória
Νικόδημος;3530;traducao;nicodemos;Nicodemos;Nicodemos;Nicodemos
Νικόδημος;3530;pt;nicodemos;Nicodemos;Nicodemos;Nicodemos
Νικολαϊτῶν;3531;traducao;nicolaítos;nicolaítas;dos nicolaítos;dos nicolaítas
Νικολαϊτῶν;3531;pt;nicolaítos;nicolaítas;dos nicolaítos;dos nicolaítas
Νικόλαον;3532;traducao;nicolo;Nicolau;nicolo;Nicolau
Νικόλαον;3532;pt;nicolo;Nicolau;nicolo;Nicolau
νικόπολιν;3533;traducao;nicópoli;Nicópolis;Nicópoli;Nicópolis
νικόπολιν;3533;pt;nicópoli;Nicópolis;Nicópoli;Nicópolis
νινευῒ;3535;traducao;nínive;Nínive;nínive;Nínive
νινευῒ;3535;pt;nínive;Nínive;nínive;Nínive
Νινευίταις;3536;traducao;ninivitos;ninivitas;aos ninivitos;aos ninivitas
Νινευίταις;3536;pt;ninivitos;ninivitas;aos ninivitos;aos ninivitas
Νινευῖται;3536;traducao;ninivitos;ninivitas;ninivitos;ninivitas
Νινευῖται;3536;pt;ninivitos;ninivitas;ninivitos;ninivitas
Νύμφαν;3564;traducao;numpho;Ninfa;numpho;Ninfa
Νύμφαν;3564;pt;numpho;Ninfa;numpho;Ninfa
Ὀζίαν;3604;traducao;uzio;Uzias;uzio;Uzias
Ὀζίαν;3604;pt;uzio;Uzias;uzio;Uzias
Ὀζίας;3604;traducao;uzio;Uzias;uzio;Uzias
Ὀζίας;3604;pt;uzio;Uzias;uzio;Uzias
ὁμολογῶ;3670;traducao;reconheco;reconheço;eu confesso, reconheco, concordo;eu confesso, reconheço, concordo
ὁμολογήσῃς;3670;traducao;reconhecas;reconheças;tu confesses, reconhecas, concordes;tu confesses, reconheças, concordes
Ὀνησίμῳ;3682;traducao;onésimo;Onésimo;ao Onésimo;ao Onésimo
Ὀνησίμῳ;3682;pt;onésimo;Onésimo;ao Onésimo;ao Onésimo
Ὀνήσιμον;3682;traducao;onésimo;Onésimo;Onésimo;Onésimo
Ὀνήσιμον;3682;pt;onésimo;Onésimo;Onésimo;Onésimo
Ὀνησιφόρου;3683;traducao;onesíforo;Onesíforo;do Onesíforo;do Onesíforo
Ὀνησιφόρου;3683;pt;onesíforo;Onesíforo;do Onesíforo;do Onesíforo
ὀρφανούς;3737;traducao;órfões;órfãos;órfões;órfãos
ὀρφανούς;3737;pt;órfões;órfãos;órfões;órfãos
ὀστρακίνοις;3749;traducao;des;de;aos des barro;aos de barro
ὀστρακίνοις;3749;pt;des;de;aos des barro;aos de barro
Οὐρίου;3774;traducao;urio;Urias;do urio;do Urias
Οὐρίου;3774;pt;urio;Urias;do urio;do Urias
ὀφείλετε;3784;traducao;estáis;estais;vós deveis, estáis em dívida, estáis obrigado;vós deveis, estais em dívida, estais obrigado
παλιγγενεσίᾳ;3824;traducao;regeneraçõe;regenerações;à regeneraçõe;à regenerações
παλιγγενεσίᾳ;3824;pt;regeneraçõe;regenerações;à regeneraçõe;à regenerações
παλιγγενεσίας;3824;traducao;regeneraçõe;regenerações;da regeneraçõe;da regenerações
παλιγγενεσίας;3824;pt;regeneraçõe;regenerações;da regeneraçõe;da regenerações
παρέδωκας;3860;traducao;traiste;traíste;tu entregaste, traiste, confiaste;tu entregaste, traíste, confiaste
παρεκάλεσά;3870;traducao;rogei;roguei;eu rogei, convoquei, invoquei, lit. chamei para perto, (a) exortei, encorajei, (p) fui consolado;eu roguei, convoquei, invoquei, lit. chamei para perto, (a) exortei, encorajei, (p) fui consolado
παρεκάλεσά;3870;pt;rogei;roguei;rogei;roguei
παραρρυῶμεν;3901;traducao;esçapado;escapado;se tendo afastado, tendo esçapado, tendo fluido;se tendo afastado, tendo escapado, tendo fluido
πάρεστε;3918;pt;estáis;estais;estáis presente;estais presente
πάρεστε;3918;traducao;estáis;estais;vós estáis presente, estáis perto, vindes;vós estais presente, estais perto, vindes
Παρμενᾶν;3937;traducao;parmeno;Parmeno;Parmeno;Parmeno
Παρμενᾶν;3937;pt;parmeno;Parmeno;Parmeno;Parmeno
Πάταρα;3959;traducao;pátaros;Pátaros;pátaros;Pátaros
Πάταρα;3959;pt;pátaros;Pátaros;pátaros;Pátaros
πατάξῃ;3960;pt;atace;ataque;atace;ataque
Πάτμῳ;3963;traducao;patma;Patmos;à Patma;à Patmos
Πάτμῳ;3963;pt;patma;Patmos;à Patma;à Patmos
πατριάρχου;3966;traducao;patriarco;patriarca;do patriarco;do patriarca
πατριάρχου;3966;pt;patriarco;patriarca;do patriarco;do patriarca
πατριάρχης;3966;traducao;patriarco;patriarca;patriarco;patriarca
πατριάρχης;3966;pt;patriarco;patriarca;patriarco;patriarca
πατριάρχαι;3966;traducao;patriarcos;patriarcas;patriarcos;patriarcas
πατριάρχαι;3966;pt;patriarcos;patriarcas;patriarcos;patriarcas
πατριάρχας;3966;traducao;patriarcos;patriarcas;patriarcos;patriarcas
πατριάρχας;3966;pt;patriarcos;patriarcas;patriarcos;patriarcas
παυσάτω;3973;traducao;restringa;restrinja;ele(a) pare, restringa;ele(a) pare, restrinja
παύομαι;3973;traducao;restringo;restrinjo;eu paro, restringo;eu paro, restrinjo
Πάφου;3974;traducao;pafa;Pafos;da pafa;da Pafos
Πάφου;3974;pt;pafa;Pafos;da pafa;da Pafos
Περγάμῳ;4010;traducao;pérgama;Pérgamo;à pérgama ou pérgamo;à Pérgamo ou pérgamo
